Country,Capital,Continent,Flag
Somaliland,Hargeisa,Africa,
Palestine,Jerusalem,Asia,
Aland Islands,Mariehamn,Europe,
Nauru,Yaren,Australia,
Saint Martin,Marigot,North America,
Tokelau,Atafu,Australia,
Western Sahara,El-Aaiún,Africa,
Afghanistan,Kabul,Asia,
Albania,Tirana,Europe,
Algeria,Algiers,Africa,
American Samoa,Pago Pago,Australia,
Andorra,Andorra la Vella,Europe,
Angola,Luanda,Africa,
Anguilla,The Valley,North America,
Antigua and Barbuda,Saint John's,North America,
Argentina,Buenos Aires,South America,
Armenia,Yerevan,Europe,
Aruba,Oranjestad,North America,
Australia,Canberra,Australia,
Austria,Vienna,Europe,
Azerbaijan,Baku,Europe,
Bahamas,Nassau,North America,
Bahrain,Manama,Asia,
Bangladesh,Dhaka,Asia,
Barbados,Bridgetown,North America,
Belarus,Minsk,Europe,
Belgium,Brussels,Europe,
Belize,Belmopan,Central America,
Benin,Porto-Novo,Africa,
Bermuda,Hamilton,North America,
Bhutan,Thimphu,Asia,
Bolivia,La Paz,South America,
Bosnia and Herzegovina,Sarajevo,Europe,
Botswana,Gaborone,Africa,
Brazil,Brasilia,South America,
British Virgin Islands,Road Town,North America,
Brunei Darussalam,Bandar Seri Begawan,Asia,
Bulgaria,Sofia,Europe,
Burkina Faso,Ouagadougou,Africa,
Myanmar,Rangoon,Asia,
Burundi,Bujumbura,Africa,
Cambodia,Phnom Penh,Asia,
Cameroon,Yaounde,Africa,
Canada,Ottawa,Central America,
Cape Verde,Praia,Africa,
Cayman Islands,George Town,North America,
Central African Republic,Bangui,Africa,
Chad,N'Djamena,Africa,
Chile,Santiago,South America,
China,Beijing,Asia,
Christmas Island,The Settlement,Australia,
Cocos Islands,West Island,Australia,
Colombia,Bogota,South America,
Comoros,Moroni,Africa,
Democratic Republic of the Congo,Kinshasa,Africa,
Republic of Congo,Brazzaville,Africa,
Cook Islands,Avarua,Australia,
Costa Rica,San Jose,Central America,
Cote d'Ivoire,Yamoussoukro,Africa,
Croatia,Zagreb,Europe,
Cuba,Havana,North America,
Curaçao,Willemstad,North America,
Cyprus,Nicosia,Europe,
Czech Republic,Prague,Europe,
Denmark,Copenhagen,Europe,
Djibouti,Djibouti,Africa,
Dominica,Roseau,North America,
Dominican Republic,Santo Domingo,North America,
Ecuador,Quito,South America,
Egypt,Cairo,Africa,
El Salvador,San Salvador,Central America,
Equatorial Guinea,Malabo,Africa,
Eritrea,Asmara,Africa,
Estonia,Tallinn,Europe,
Ethiopia,Addis Ababa,Africa,
Falkland Islands,Stanley,South America,
Faroe Islands,Torshavn,Europe,
Fiji,Suva,Australia,
Finland,Helsinki,Europe,
France,Paris,Europe,
French Polynesia,Papeete,Australia,
Gabon,Libreville,Africa,
The Gambia,Banjul,Africa,
Georgia,Tbilisi,Europe,
Germany,Berlin,Europe,
Ghana,Accra,Africa,
Gibraltar,Gibraltar,Europe,
Greece,Athens,Europe,
Greenland,Nuuk,Central America,
Grenada,Saint George's,North America,
Guam,Hagatna,Australia,
Guatemala,Guatemala City,Central America,
Guernsey,Saint Peter Port,Europe,
Guinea,Conakry,Africa,
Guinea-Bissau,Bissau,Africa,
Guyana,Georgetown,South America,
Haiti,Port-au-Prince,North America,
Vatican City,Vatican City,Europe,
Honduras,Tegucigalpa,Central America,
Hungary,Budapest,Europe,
Iceland,Reykjavik,Europe,
India,New Delhi,Asia,
Indonesia,Jakarta,Asia,
Iran,Tehran,Asia,
Iraq,Baghdad,Asia,
Ireland,Dublin,Europe,
Isle of Man,Douglas,Europe,
Israel,Jerusalem,Asia,
Italy,Rome,Europe,
Jamaica,Kingston,North America,
Japan,Tokyo,Asia,
Jersey,Saint Helier,Europe,
Jordan,Amman,Asia,
Kazakhstan,Astana,Asia,
Kenya,Nairobi,Africa,
Kiribati,Tarawa,Australia,
North Korea,Pyongyang,Asia,
South Korea,Seoul,Asia,
Kosovo,Pristina,Europe,
Kuwait,Kuwait City,Asia,
Kyrgyzstan,Bishkek,Asia,
Laos,Vientiane,Asia,
Latvia,Riga,Europe,
Lebanon,Beirut,Asia,
Lesotho,Maseru,Africa,
Liberia,Monrovia,Africa,
Libya,Tripoli,Africa,
Liechtenstein,Vaduz,Europe,
Lithuania,Vilnius,Europe,
Luxembourg,Luxembourg,Europe,
Macedonia,Skopje,Europe,
Madagascar,Antananarivo,Africa,
